"film","ceremony","name","winner","Year","Rating_IMDB","Oscarstat_totalnoms","Nom_Oscar_bestdirector","Rating_rtcritic","Nom_GoldenGlobe_bestdrama","Win_GoldenGlobe_bestdrama","genre"
"Michael Clayton",80,"Sydney Pollack, Jennifer Fox and Kerry Orent, Producers","False",2008,7.3,7,"1",90,1,0,"Crime"
"Midnight Cowboy",42,"Jerome Hellman, Producer","True",1970,7.9,7,"1",90,1,0,"Drama"
"Midnight Express",51,"Alan Marshall and David Puttnam, Producers","False",1979,7.7,6,"1",95,1,1,"Biography"
"Midnight in Paris",84,"Letty Aronson and Stephen Tenenbaum, Producers","False",2012,7.7,4,"1",93,0,0,"Comedy"
"Milk",81,"Dan Jinks and Bruce Cohen, Producers","False",2009,7.6,8,"1",94,0,0,"Biography"
"Million Dollar Baby",77,"Clint Eastwood, Albert S. Ruddy and Tom Rosenberg, Producers","True",2005,8.1,7,"1",91,1,0,"Drama"
"Missing",55,"Edward Lewis and Mildred Lewis, Producers","False",1983,7.8,4,"0",97,1,0,"Biography"
"Mississippi Burning",61,"Frederick Zollo and Robert F. Colesberry, Producers","False",1989,7.8,7,"1",89,1,0,"Crime"
"Moneyball",84,"Michael De Luca, Rachael Horovitz and Brad Pitt, Producers","False",2012,7.6,6,"0",94,1,0,"Biography"
"Moonlight",89,"Adele Romanski, Dede Gardner and Jeremy Kleiner, Producers","True",2017,7.9,7,"1",98,1,1,"Drama"
"Moonstruck",60,"Patrick Palmer and Norman Jewison, Producers","False",1988,7.1,6,"1",92,0,0,"Comedy"
"Munich",78,"Kathleen Kennedy, Steven Spielberg and Barry Mendel, Producers","False",2006,7.6,5,"1",78,0,0,"Drama"
"Mutiny on the Bounty",35,"Aaron Rosenberg, Producer","False",1963,7.2,14,"0",71,1,0,"Drama"
"My Fair Lady",37,"Jack L. Warner, Producer","True",1965,7.9,12,"1",96,0,0,"Drama"
"My Left Foot",62,"Noel Pearson, Producer","False",1990,7.9,5,"1",97,0,0,"Biography"
"Mystic River",76,"Robert Lorenz, Judie G. Hoyt and Clint Eastwood, Producers","False",2004,8,6,"1",87,1,0,"Crime"
"Nashville",48,"Robert Altman, Producer","False",1976,7.8,4,"1",94,1,0,"Comedy"
"Nebraska",86,"Albert Berger and Ron Yerxa, Producers","False",2014,7.7,6,"1",91,0,0,"Comedy"
"Network",49,"Howard Gottfried, Producer","False",1977,8.1,10,"1",91,1,0,"Drama"
"Nicholas and Alexandra",44,"Sam Spiegel, Producer","False",1972,7.3,6,"0",71,0,0,"Biography"
"No Country for Old Men",80,"Scott Rudin, Ethan Coen and Joel Coen, Producers","True",2008,8.1,8,"1",93,1,0,"Crime"
"Norma Rae",52,"Tamara Asseyev and Alex Rose, Producers","False",1980,7.4,3,"0",90,1,0,"Drama"
"Oliver!",41,"John Woolf, Producer","True",1969,7.5,12,"1",81,0,0,"Drama"
"On Golden Pond",54,"Bruce Gilbert, Producer","False",1982,7.7,10,"1",92,1,1,"Drama"
"Ordinary People",53,"Ronald L. Schwary, Producer","True",1981,7.8,6,"1",90,1,1,"Drama"
"Out of Africa",58,"Sydney Pollack, Producer","True",1986,7.2,11,"1",56,1,1,"Biography"
"Patton",43,"Frank McCarthy, Producer","True",1971,8,10,"1",95,1,0,"Biography"
"Phantom Thread",90,"JoAnne Sellar, Paul Thomas Anderson, Megan Ellison and Daniel Lupi, Producers","False",2018,8.3,6,"0",91,0,0,"Drama"
"Philomena",86,"Gabrielle Tana, Steve Coogan and Tracey Seaward, Producers","False",2014,7.6,4,"0",92,1,0,"Biography"
"Places in the Heart",57,"Arlene Donovan, Producer","False",1985,7.3,7,"1",96,1,0,"Drama"
"Platoon",59,"Arnold Kopelson, Producer","True",1987,8.1,8,"1",88,1,1,"Drama"
"Prizzi's Honor",58,"John Foreman, Producer","False",1986,6.8,8,"1",88,0,0,"Crime"
"Pulp Fiction",67,"Lawrence Bender, Producer","False",1995,8.9,7,"1",94,1,0,"Crime"
"Quiz Show",67,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers","False",1995,7.5,4,"1",96,1,0,"Biography"
"Rachel, Rachel",41,"Paul Newman, Producer","False",1969,7.5,4,"0",86,0,0,"Drama"
"Raging Bull",53,"Irwin Winkler and Robert Chartoff, Producers","False",1981,8.2,8,"1",97,1,0,"Biography"
"Raiders of the Lost Ark",54,"Frank Marshall, Producer","False",1982,8.5,9,"1",94,0,0,"Action"
"Rain Man",61,"Mark Johnson, Producer","True",1989,8,8,"1",90,1,1,"Drama"
"Ray",77,"Taylor Hackford, Stuart Benjamin and Howard Baldwin, Producers","False",2005,7.7,6,"1",81,0,0,"Biography"
"Reds",54,"Warren Beatty, Producer","False",1982,7.5,12,"1",94,1,0,"Biography"
"Rocky",49,"Irwin Winkler and Robert Chartoff, Producers","True",1977,8.1,9,"1",93,1,1,"Drama"
"Roma",91,"Gabriela Rodríguez and Alfonso Cuarón, Producers","False",2019,8,10,"1",83,0,0,"Drama"
"Romeo and Juliet",41,"Anthony Havelock-Allan and John Brabourne, Producers","False",1969,7.6,8,"1",97,0,0,"Drama"
"Room",88,"Ed Guiney, Producer","False",2016,8.2,4,"1",94,1,0,"Drama"
"Saving Private Ryan",71,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers","False",1999,8.6,11,"1",92,1,1,"Drama"
"Scent of a Woman",65,"Martin Brest, Producer","False",1993,8,6,"1",88,1,1,"Drama"
"Schindler's List",66,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers","True",1994,8.9,12,"1",96,1,1,"Biography"
"Seabiscuit",76,"Kathleen Kennedy, Frank Marshall and Gary Ross, Producers","False",2004,7.3,7,"0",77,1,0,"Drama"
"Selma",87,"Christian Colson, Oprah Winfrey, Dede Gardner and Jeremy Kleiner, Producers","False",2015,7.5,1,"0",99,1,0,"Biography"
"Sense and Sensibility",68,"Lindsay Doran, Producer","False",1996,7.7,7,"0",98,1,1,"Drama"
"Shakespeare in Love",71,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers","True",1999,7.2,13,"1",92,0,0,"Comedy"
"Shine",69,"Jane Scott, Producer","False",1997,7.7,7,"1",91,1,0,"Biography"
"Ship of Fools",38,"Stanley Kramer, Producer","False",1966,7.2,8,"0",81,1,0,"Drama"
"Sideways",77,"Michael London, Producer","False",2005,7.5,5,"1",96,0,0,"Comedy"
"Silver Linings Playbook",85,"Donna Gigliotti, Bruce Cohen and Jonathan Gordon, Producers","False",2013,7.8,8,"1",92,0,0,"Comedy"
"Slumdog Millionaire",81,"Christian Colson, Producer","True",2009,8,8,"1",92,1,1,"Drama"
"Sounder",45,"Robert B. Radnitz, Producer","False",1973,7.7,4,"0",88,0,0,"Drama"
"Spotlight",88,"Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faust, Producers","True",2016,8.1,6,"1",96,1,0,"Crime"
"Star Wars",50,"Gary Kurtz, Producer","False",1978,8.7,11,"1",93,1,0,"SciFi"
"Taxi Driver",49,"Michael Phillips and Julia Phillips, Producers","False",1977,8.3,4,"0",99,0,0,"Crime"
"Tender Mercies",56,"Philip S. Hobel, Producer","False",1984,7.4,4,"1",85,1,0,"Drama"
"Terms of Endearment",56,"James L. Brooks, Producer","True",1984,7.4,11,"1",88,1,1,"Comedy"
"Tess",53,"Claude Berri, Producer;  Timothy Burrill, Co-Producer","False",1981,7.3,6,"1",85,0,0,"Drama"
"The Accidental Tourist",61,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers","False",1989,6.8,4,"0",79,1,0,"Drama"
"The Artist",84,"Thomas Langmann, Producer","True",2012,7.9,10,"1",96,0,0,"Comedy"
"The Aviator",77,"Michael Mann and Graham King, Producers","False",2005,7.5,11,"1",87,1,1,"Biography"
"The Big Chill",56,"Michael Shamberg, Producer","False",1984,7.2,3,"0",68,0,0,"Comedy"
"The Big Short",88,"Brad Pitt, Dede Gardner and Jeremy Kleiner, Producers","False",2016,7.8,5,"1",88,0,0,"Biography"
"The Blind Side",82,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers","False",2010,7.7,2,"0",66,0,0,"Biography"
"The Cider House Rules",72,"Richard N. Gladstein, Producer","False",2000,7.4,7,"1",71,0,0,"Drama"
"The Color Purple",58,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers","False",1986,7.8,10,"0",88,1,0,"Drama"
"The Conversation",47,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer","False",1975,7.9,3,"0",98,1,0,"Drama"
"The Crying Game",65,"Stephen Woolley, Producer","False",1993,7.3,6,"1",97,1,0,"Crime"
"The Curious Case of Benjamin Button",81,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers","False",2009,7.8,13,"1",72,1,0,"Drama"
"The Deer Hunter",51,"Barry Spikings, Michael Deeley, Michael Cimino and John Peverall, Producers","True",1979,8.2,9,"1",94,1,0,"Drama"
"The Departed",79,"Graham King, Producer","True",2007,8.5,5,"1",91,1,0,"Crime"
"The Descendants",84,"Jim Burke, Alexander Payne and Jim Taylor, Producers","False",2012,7.3,5,"1",89,1,1,"Comedy"
"The Dresser",56,"Peter Yates, Producer","False",1984,7.7,5,"1",100,0,0,"Drama"
"The Elephant Man",53,"Jonathan Sanger, Producer","False",1981,8.2,8,"1",90,1,0,"Biography"
"The Emigrants",45,"Bengt Forslund, Producer","False",1973,8,5,"1",89,0,0,"Drama"
"The English Patient",69,"Saul Zaentz, Producer","True",1997,7.4,12,"1",84,1,1,"Drama"
"The Exorcist",46,"William Peter Blatty, Producer","False",1974,8,10,"1",86,1,1,"Horror"
"The Favourite",91,"Ceci Dempsey, Ed Guiney, Lee Magiday and Yorgos Lanthimos, Producers","False",2019,7.9,10,"1",62,0,0,"Biography"
"The Fighter",83,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers","False",2011,7.9,7,"1",90,1,0,"Biography"
"The French Connection",44,"Philip D'Antoni, Producer","True",1972,7.8,8,"1",98,1,1,"Action"
"The Fugitive",66,"Arnold Kopelson, Producer","False",1994,7.8,7,"0",96,0,0,"Action"
"The Full Monty",70,"Uberto Pasolini, Producer","False",1998,7.2,4,"1",95,0,0,"Comedy"
"The Godfather",45,"Albert S. Ruddy, Producer","True",1973,9.2,11,"1",99,1,1,"Crime"
"The Godfather Part II",47,"Francis Ford Coppola, Producer;  Gray Frederickson and Fred Roos, Co-Producers","True",1975,9,11,"1",97,1,0,"Crime"
"The Goodbye Girl",50,"Ray Stark, Producer","False",1978,7.4,5,"0",88,0,0,"Comedy"
"The Graduate",40,"Lawrence Turman, Producer","False",1968,8,7,"1",89,0,0,"Comedy"
"The Grand Budapest Hotel",87,"Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson, Producers","False",2015,8.1,9,"1",92,0,0,"Comedy"
"The Green Mile",72,"David Valdes and Frank Darabont, Producers","False",2000,8.5,4,"0",80,0,0,"Crime"
"The Help",84,"Brunson Green, Chris Columbus and Michael Barnathan, Producers","False",2012,8.1,4,"0",75,1,0,"Drama"
"The Hours",75,"Scott Rudin and Robert Fox, Producers","False",2003,7.6,9,"1",81,1,1,"Drama"
"The Hurt Locker",82,"Kathryn Bigelow, Mark Boal, Nicolas Chartier and Greg Shapiro, Producers","True",2010,7.6,9,"1",98,1,0,"Drama"
"The Imitation Game",87,"Nora Grossman, Ido Ostrowsky and Teddy Schwarzman, Producers","False",2015,8.1,8,"1",90,1,0,"Biography"
"The Insider",72,"Michael Mann and Pieter Jan Brugge, Producers","False",2000,7.9,7,"1",96,1,0,"Biography"
"The Kids Are All Right",83,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers","False",2011,7.1,4,"0",93,0,0,"Comedy"
"The Killing Fields",57,"David Puttnam, Producer","False",1985,7.9,7,"1",93,1,0,"Biography"
"The King's Speech",83,"Iain Canning, Emile Sherman and Gareth Unwin, Producers","True",2011,8,12,"1",95,1,0,"Biography"
"The Last Emperor",60,"Jeremy Thomas, Producer","True",1988,7.8,9,"1",92,1,1,"Biography"
"The Last Picture Show",44,"Stephen J. Friedman, Producer","False",1972,8.1,8,"1",100,1,0,"Drama"
"The Lion in Winter",41,"Martin Poll, Producer","False",1969,8.1,7,"1",91,1,1,"Biography"
"The Longest Day",35,"Darryl F. Zanuck, Producer","False",1963,7.8,5,"0",92,1,0,"Action"
"The Lord of the Rings: The Fellowship of the Ring",74,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers","False",2002,8.8,12,"1",91,1,0,"Drama"
"The Lord of the Rings: The Return of the King",76,"Barrie M. Osborne, Peter Jackson and Fran Walsh, Producers","True",2004,8.9,10,"1",95,1,1,"Drama"
"The Lord of the Rings: The Two Towers",75,"Barrie M. Osborne, Fran Walsh and Peter Jackson, Producers","False",2003,8.7,6,"0",96,1,0,"Drama"
"The Martian",88,"Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam, Producers","False",2016,8,7,"0",92,0,0,"Drama"
"The Mission",59,"Fernando Ghia and David Puttnam, Producers","False",1987,7.5,7,"1",65,1,0,"Drama"
"The Pianist",75,"Roman Polanski, Robert Benmussa and Alain Sarde, Producers","False",2003,8.5,7,"1",96,1,0,"Biography"
"The Piano",66,"Jan Chapman, Producer","False",1994,7.6,8,"1",90,1,0,"Drama"
"The Post",90,"Amy Pascal, Steven Spielberg and Kristie Macosko Krieger, Producers","False",2018,7.4,2,"0",88,1,0,"Biography"
"The Prince of Tides",64,"Barbra Streisand and Andrew Karsch, Producers","False",1992,6.7,7,"0",73,1,0,"Drama"
"The Queen",79,"Andy Harries, Christine Langan and Tracey Seaward, Producers","False",2007,7.3,6,"1",97,1,0,"Biography"
"The Reader",81,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers","False",2009,7.6,5,"1",61,1,0,"Drama"
"The Remains of the Day",66,"Mike Nichols, John Calley and Ismail Merchant, Producers","False",1994,7.9,8,"1",97,1,0,"Drama"
"The Revenant",88,"Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon, Producers","False",2016,8,12,"1",81,1,1,"Drama"
"The Right Stuff",56,"Irwin Winkler and Robert Chartoff, Producers","False",1984,7.9,8,"0",98,1,0,"Biography"
"The Sand Pebbles",39,"Robert Wise, Producer","False",1967,7.7,8,"0",93,1,0,"Drama"
"The Shape of Water",90,"Guillermo del Toro and J. Miles Dale, Producers","True",2018,7.8,13,"1",78,1,0,"Drama"
"The Shawshank Redemption",67,"Niki Marvin, Producer","False",1995,9.3,7,"0",91,0,0,"Crime"
"The Silence of the Lambs",64,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers","True",1992,8.6,7,"1",95,1,0,"Crime"
"The Sixth Sense",72,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers","False",2000,8.1,6,"1",85,0,0,"Drama"
"The Social Network",83,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers","False",2011,7.7,8,"1",96,1,1,"Biography"
"The Sound of Music",38,"Robert Wise, Producer","True",1966,8,10,"1",86,0,0,"Biography"
"The Sting",46,"Tony Bill, Michael Phillips and Julia Phillips, Producers","True",1974,8.3,10,"1",93,0,0,"Crime"
"The Theory of Everything",87,"Tim Bevan, Eric Fellner, Lisa Bruce and Anthony McCarten, Producers","False",2015,7.7,5,"0",79,1,0,"Biography"
"The Thin Red Line",71,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers","False",1999,7.6,7,"1",78,0,0,"Drama"
"The Towering Inferno",47,"Irwin Allen, Producer","False",1975,6.9,7,"0",71,0,0,"Action"
"The Tree of Life",84,"Sarah Green, Bill Pohlad, Dede Gardner and Grant Hill, Producers","False",2012,6.8,3,"1",84,0,0,"Drama"
"The Turning Point",50,"Herbert Ross and Arthur Laurents, Producers","False",1978,7,11,"1",58,1,1,"Drama"
"The Verdict",55,"Richard D. Zanuck and David Brown, Producers","False",1983,7.8,5,"1",96,1,0,"Drama"
"The Wolf of Wall Street",86,"Martin Scorsese, Leonardo DiCaprio, Joey McFarland and Emma Tillinger Koskoff, Producers","False",2014,8.2,5,"1",77,0,0,"Biography"
"There Will Be Blood",80,"JoAnne Sellar, Paul Thomas Anderson and Daniel Lupi, Producers","False",2008,8.1,8,"1",91,1,0,"Drama"
"Titanic",70,"James Cameron and Jon Landau, Producers","True",1998,7.7,15,"1",88,1,1,"Drama"
"To Kill a Mockingbird",35,"Alan J. Pakula, Producer","False",1963,8.3,8,"1",91,1,0,"Crime"
"Tom Jones",36,"Tony Richardson, Producer","True",1964,6.7,10,"1",83,0,0,"Comedy"
"Tootsie",55,"Sydney Pollack and Dick Richards, Producers","False",1983,7.4,9,"1",89,0,0,"Comedy"
"Toy Story 3",83,"Darla K. Anderson, Producer","False",2011,8.3,4,"0",99,0,0,"Comedy"
"Traffic",73,"Edward Zwick, Marshall Herskovitz and Laura Bickford, Producers","False",2001,7.6,5,"1",92,1,0,"Crime"
"True Grit",83,"Scott Rudin, Ethan Coen and Joel Coen, Producers","False",2011,7.4,11,"1",90,0,0,"Drama"
"Unforgiven",65,"Clint Eastwood, Producer","True",1993,8.3,9,"1",95,1,0,"Drama"
"Up",82,"Jonas Rivera, Producer","False",2010,8.3,6,"0",98,0,0,"Comedy"
"Up in the Air",82,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers","False",2010,7.4,6,"1",91,1,0,"Drama"
"Vice",91,"Dede Gardner, Jeremy Kleiner, Adam McKay and Kevin Messick, Producers","False",2019,7.1,8,"1",55,0,0,"Biography"
"War Horse",84,"Steven Spielberg and Kathleen Kennedy, Producers","False",2012,7.2,6,"0",76,1,0,"Drama"
"Whiplash",87,"Jason Blum, Helen Estabrook and David Lancaster, Producers","False",2015,8.5,5,"0",94,0,0,"Drama"
"Who's Afraid of Virginia Woolf?",39,"Ernest Lehman, Producer","False",1967,8.1,13,"1",95,1,0,"Drama"
"Winter's Bone",83,"Anne Rosellini and Alix Madigan-Yorkin, Producers","False",2011,7.2,4,"0",94,0,0,"Drama"
"Witness",58,"Edward S. Feldman, Producer","False",1986,7.4,8,"1",92,1,0,"Crime"
"Working Girl",61,"Douglas Wick, Producer","False",1989,6.7,5,"1",84,0,0,"Comedy"
"Z",42,"Jacques Perrin and Hamed Rachedi, Producers","False",1970,8.2,5,"1",95,0,0,"Crime"
"Zero Dark Thirty",85,"Mark Boal, Kathryn Bigelow and Megan Ellison, Producers","False",2013,7.4,5,"0",92,1,0,"Drama"
"Zorba the Greek",37,"Michael Cacoyannis, Producer","False",1965,7.8,7,"1",86,1,0,"Comedy"
